i,pct_f,type
578,62.0,3.0
579,0.0,3.0
580,25.0,3.0
581,12.0,3.0
582,0.0,7.0
583,9.0,4.0
584,0.0,7.0
585,30.0,7.0
586,21.0,5.0
587,26.0,5.0
588,52.0,3.0
589,24.0,3.0
590,29.0,3.0
591,53.0,4.0
592,32.0,5.0
593,67.0,3.0
594,0.0,3.0
595,24.0,3.0
596,33.0,3.0
597,27.0,5.0
598,55.0,3.0
599,20.0,3.0
600,28.0,3.0
601,50.0,3.0
602,19.0,3.0
603,13.0,6.0
604,31.0,3.0
605,30.0,3.0
606,47.0,3.0
607,0.0,3.0
608,43.0,3.0
609,43.0,3.0
610,33.0,3.0
611,18.0,3.0
612,39.0,3.0
613,35.0,3.0
614,10.0,7.0
615,45.0,3.0
616,40.0,3.0
617,29.0,3.0
618,6.0,3.0
619,10.0,3.0
620,20.0,3.0
621,50.0,3.0
622,28.0,5.0
623,37.0,3.0
624,25.0,3.0
625,11.0,6.0
626,27.0,6.0
627,36.0,3.0
628,32.0,5.0
629,0.0,3.0
630,50.0,3.0
631,42.0,7.0
632,43.0,3.0
633,20.0,7.0
634,33.0,7.0
635,33.0,7.0
636,52.0,3.0
637,33.0,5.0
638,28.0,5.0
639,50.0,3.0
640,38.0,3.0
641,38.0,3.0
642,77.0,3.0
643,27.0,6.0
644,43.0,3.0
645,9.0,5.0
646,14.0,7.0
647,32.0,7.0
648,22.0,3.0
649,17.0,3.0
650,27.0,3.0
651,31.0,3.0
652,8.0,6.0
653,36.0,3.0
654,17.0,3.0
655,16.0,3.0
656,27.0,7.0
657,37.0,7.0
658,10.0,3.0
659,44.0,3.0
660,21.0,7.0
661,13.0,5.0
662,13.0,1.0
663,16.0,7.0
664,5.0,6.0
665,11.0,3.0
666,38.0,3.0
667,10.0,3.0
668,0.0,3.0
669,26.0,6.0
670,12.0,3.0
671,23.0,3.0
672,50.0,3.0
673,38.0,7.0
674,44.0,7.0
675,50.0,3.0
676,38.0,3.0
677,34.0,3.0
678,42.0,3.0
679,46.0,3.0
680,14.0,3.0
681,25.0,3.0
682,24.0,6.0
683,57.0,3.0
684,27.0,4.0
685,25.0,3.0
686,19.0,5.0
687,26.0,3.0
688,24.0,3.0
689,50.0,3.0
690,40.0,3.0
691,20.0,5.0
692,32.0,7.0
693,29.0,7.0
694,36.0,7.0
695,15.0,7.0
696,54.0,3.0
697,21.0,6.0
698,46.0,3.0
699,6.0,5.0
700,7.0,5.0
701,42.0,3.0
702,25.0,3.0
703,16.0,5.0
704,41.0,7.0
705,46.0,3.0
706,10.0,3.0
707,14.0,6.0
708,60.0,3.0
709,42.0,3.0
710,57.0,3.0
711,67.0,3.0
712,53.0,3.0
713,62.0,4.0
714,34.0,4.0
715,40.0,3.0
716,25.0,3.0
717,23.0,6.0
718,28.0,6.0
719,36.0,7.0
720,30.0,5.0
721,33.0,3.0
722,11.0,6.0
723,20.0,6.0
724,40.0,3.0
725,27.0,6.0
726,27.0,3.0
727,21.0,3.0
728,0.0,6.0
729,24.0,3.0
730,33.0,3.0
731,0.0,3.0
732,12.0,4.0
733,15.0,4.0
734,29.0,5.0
735,40.0,7.0
736,41.0,3.0
737,56.0,3.0
738,57.0,3.0
739,42.0,6.0
740,20.0,5.0
741,26.0,5.0
742,31.0,3.0
743,0.0,3.0
744,27.0,3.0
745,35.0,3.0
746,0.0,4.0
747,0.0,3.0
748,10.0,3.0
749,50.0,3.0
750,9.0,3.0
751,36.0,3.0
752,7.0,5.0
753,35.0,5.0
754,38.0,7.0
755,26.0,3.0
756,14.0,6.0
757,33.0,3.0
758,60.0,3.0
759,14.0,3.0
760,67.0,7.0
761,50.0,3.0
762,24.0,3.0
763,33.0,3.0
764,29.0,3.0
765,16.0,6.0
766,25.0,3.0
767,45.0,3.0
768,12.0,3.0
769,23.0,3.0
770,25.0,7.0
771,9.0,7.0
772,17.0,3.0
773,56.0,3.0
774,8.0,5.0
775,18.0,3.0
776,23.0,3.0
777,23.0,3.0
778,21.0,3.0
779,8.0,3.0
780,5.0,3.0
781,0.0,3.0
782,21.0,5.0
783,31.0,3.0
784,54.0,3.0
785,24.0,3.0
786,23.0,6.0
787,43.0,4.0
788,20.0,3.0
789,8.0,6.0
790,12.0,6.0
791,11.0,6.0
792,5.0,6.0
793,21.0,6.0
794,3.0,6.0
795,23.0,6.0
796,64.0,3.0
797,44.0,3.0
798,54.0,3.0
799,47.0,3.0
800,22.0,6.0
801,20.0,3.0
802,91.0,3.0
803,47.0,3.0
804,48.0,3.0
805,62.0,3.0
806,32.0,3.0
807,58.0,3.0
808,11.0,6.0
809,17.0,6.0
810,46.0,3.0
811,36.0,3.0
