i,pct_f,effectifs_candidats_total_accepte,effectifs_candidats_femmes_total_accepte
8098,79.0,19.0,15.0
8099,23.0,89.0,20.0
8100,69.0,64.0,44.0
8101,15.0,27.0,4.0
8102,47.0,38.0,18.0
8103,3.0,33.0,1.0
8104,0.0,23.0,0.0
8105,0.0,13.0,0.0
8106,46.0,13.0,6.0
8107,15.0,93.0,14.0
8108,48.0,147.0,71.0
8109,0.0,5.0,0.0
8110,43.0,14.0,6.0
8111,65.0,31.0,20.0
8112,61.0,28.0,17.0
8113,38.0,93.0,35.0
8114,93.0,27.0,25.0
8115,25.0,4.0,1.0
8116,78.0,23.0,18.0
8117,38.0,55.0,21.0
8118,7.0,14.0,1.0
8119,43.0,28.0,12.0
8120,12.0,17.0,2.0
8121,55.0,11.0,6.0
8122,0.0,6.0,0.0
8123,50.0,12.0,6.0
8124,16.0,25.0,4.0
8125,0.0,19.0,0.0
8126,37.0,19.0,7.0
8127,58.0,33.0,19.0
8128,66.0,90.0,59.0
8129,0.0,9.0,0.0
8130,62.0,152.0,94.0
8131,57.0,23.0,13.0
8132,42.0,12.0,5.0
8133,37.0,70.0,26.0
8134,15.0,95.0,14.0
8135,87.0,15.0,13.0
8136,62.0,66.0,41.0
8137,67.0,24.0,16.0
8138,76.0,33.0,25.0
8139,68.0,34.0,23.0
8140,46.0,22.0,10.0
8141,71.0,21.0,15.0
8142,100.0,1.0,1.0
8143,23.0,71.0,16.0
8144,35.0,40.0,14.0
8145,0.0,23.0,0.0
8146,30.0,60.0,18.0
8147,14.0,21.0,3.0
8148,9.0,11.0,1.0
8149,13.0,15.0,2.0
8150,41.0,42.0,17.0
8151,57.0,21.0,12.0
8152,16.0,75.0,12.0
8153,17.0,24.0,4.0
8154,75.0,20.0,15.0
8155,57.0,82.0,47.0
8156,40.0,25.0,10.0
8157,65.0,26.0,17.0
8158,54.0,81.0,44.0
8159,36.0,45.0,16.0
8160,0.0,14.0,0.0
8161,88.0,24.0,21.0
8162,33.0,33.0,11.0
8163,12.0,17.0,2.0
8164,,0.0,0.0
8165,9.0,23.0,2.0
8166,55.0,22.0,12.0
8167,0.0,15.0,0.0
8168,19.0,32.0,6.0
8169,1.0,79.0,1.0
8170,14.0,29.0,4.0
8171,46.0,37.0,17.0
8172,0.0,12.0,0.0
8173,59.0,32.0,19.0
8174,60.0,15.0,9.0
8175,0.0,6.0,0.0
8176,55.0,20.0,11.0
8177,51.0,83.0,42.0
8178,7.0,42.0,3.0
8179,0.0,14.0,0.0
8180,52.0,25.0,13.0
8181,21.0,14.0,3.0
8182,46.0,13.0,6.0
8183,30.0,30.0,9.0
8184,70.0,20.0,14.0
8185,13.0,31.0,4.0
8186,0.0,12.0,0.0
8187,5.0,62.0,3.0
8188,53.0,34.0,18.0
8189,44.0,36.0,16.0
8190,37.0,134.0,50.0
8191,27.0,11.0,3.0
8192,38.0,16.0,6.0
8193,14.0,29.0,4.0
8194,23.0,47.0,11.0
8195,85.0,26.0,22.0
8196,73.0,44.0,32.0
8197,0.0,18.0,0.0
8198,8.0,64.0,5.0
8199,80.0,15.0,12.0
8200,75.0,193.0,144.0
8201,41.0,27.0,11.0
8202,31.0,95.0,29.0
8203,21.0,48.0,10.0
8204,74.0,31.0,23.0
8205,71.0,48.0,34.0
8206,70.0,33.0,23.0
8207,89.0,35.0,31.0
8208,75.0,72.0,54.0
8209,36.0,33.0,12.0
8210,83.0,35.0,29.0
8211,64.0,11.0,7.0
8212,5.0,99.0,5.0
8213,94.0,46.0,43.0
8214,75.0,28.0,21.0
8215,79.0,95.0,75.0
8216,73.0,22.0,16.0
8217,44.0,46.0,20.0
8218,0.0,25.0,0.0
8219,53.0,32.0,17.0
8220,46.0,50.0,23.0
8221,75.0,32.0,24.0
8222,44.0,23.0,10.0
8223,86.0,21.0,18.0
8224,0.0,7.0,0.0
8225,86.0,14.0,12.0
8226,53.0,112.0,59.0
8227,62.0,47.0,29.0
8228,62.0,42.0,26.0
8229,54.0,35.0,19.0
8230,16.0,44.0,7.0
8231,9.0,32.0,3.0
8232,71.0,109.0,77.0
8233,10.0,101.0,10.0
8234,52.0,23.0,12.0
8235,90.0,31.0,28.0
8236,53.0,17.0,9.0
8237,46.0,11.0,5.0
8238,32.0,19.0,6.0
8239,47.0,83.0,39.0
8240,4.0,23.0,1.0
8241,10.0,30.0,3.0
8242,0.0,30.0,0.0
8243,59.0,41.0,24.0
8244,77.0,34.0,26.0
8245,60.0,90.0,54.0
8246,39.0,13.0,5.0
8247,76.0,96.0,73.0
8248,15.0,27.0,4.0
8249,32.0,22.0,7.0
8250,17.0,12.0,2.0
8251,39.0,130.0,50.0
8252,31.0,220.0,67.0
8253,19.0,16.0,3.0
8254,0.0,6.0,0.0
8255,68.0,25.0,17.0
8256,4.0,26.0,1.0
8257,46.0,28.0,13.0
8258,29.0,14.0,4.0
8259,5.0,81.0,4.0
8260,46.0,22.0,10.0
8261,100.0,47.0,47.0
8262,30.0,33.0,10.0
8263,16.0,58.0,9.0
8264,46.0,33.0,15.0
8265,19.0,16.0,3.0
8266,19.0,16.0,3.0
8267,60.0,5.0,3.0
8268,84.0,25.0,21.0
8269,18.0,17.0,3.0
8270,43.0,7.0,3.0
8271,60.0,5.0,3.0
8272,41.0,27.0,11.0
8273,46.0,33.0,15.0
8274,74.0,23.0,17.0
8275,100.0,16.0,16.0
8276,9.0,23.0,2.0
8277,74.0,27.0,20.0
8278,41.0,27.0,11.0
8279,55.0,22.0,12.0
8280,0.0,8.0,0.0
8281,50.0,34.0,17.0
8282,18.0,11.0,2.0
8283,43.0,86.0,37.0
8284,30.0,10.0,3.0
8285,57.0,21.0,12.0
8286,67.0,30.0,20.0
8287,9.0,23.0,2.0
8288,0.0,13.0,0.0
8289,100.0,12.0,12.0
8290,0.0,7.0,0.0
8291,6.0,32.0,2.0
8292,62.0,26.0,16.0
8293,70.0,46.0,32.0
8294,41.0,46.0,19.0
8295,92.0,13.0,12.0
8296,50.0,32.0,16.0
8297,53.0,15.0,8.0
8298,15.0,109.0,16.0
8299,53.0,62.0,33.0
8300,100.0,2.0,2.0
8301,40.0,15.0,6.0
8302,69.0,36.0,25.0
8303,59.0,29.0,17.0
8304,7.0,15.0,1.0
8305,0.0,11.0,0.0
8306,0.0,12.0,0.0
8307,9.0,11.0,1.0
8308,0.0,14.0,0.0
8309,71.0,28.0,20.0
8310,37.0,27.0,10.0
8311,45.0,20.0,9.0
8312,25.0,48.0,12.0
8313,94.0,16.0,15.0
8314,35.0,17.0,6.0
8315,55.0,22.0,12.0
8316,28.0,32.0,9.0
8317,12.0,34.0,4.0
8318,74.0,23.0,17.0
8319,0.0,7.0,0.0
8320,60.0,35.0,21.0
8321,72.0,79.0,57.0
8322,44.0,16.0,7.0
8323,71.0,17.0,12.0
8324,20.0,10.0,2.0
8325,26.0,43.0,11.0
8326,47.0,36.0,17.0
8327,50.0,96.0,48.0
8328,68.0,50.0,34.0
8329,34.0,74.0,25.0
8330,100.0,28.0,28.0
8331,77.0,17.0,13.0
8332,67.0,12.0,8.0
8333,44.0,32.0,14.0
8334,23.0,22.0,5.0
8335,54.0,28.0,15.0
8336,63.0,16.0,10.0
8337,50.0,18.0,9.0
8338,43.0,14.0,6.0
8339,58.0,12.0,7.0
8340,90.0,30.0,27.0
8341,52.0,21.0,11.0
8342,22.0,45.0,10.0
8343,41.0,32.0,13.0
8344,6.0,55.0,3.0
8345,0.0,12.0,0.0
8346,7.0,14.0,1.0
8347,88.0,43.0,38.0
8348,52.0,23.0,12.0
8349,47.0,17.0,8.0
8350,67.0,109.0,73.0
8351,6.0,124.0,7.0
8352,3.0,35.0,1.0
8353,0.0,15.0,0.0
8354,30.0,27.0,8.0
8355,0.0,22.0,0.0
8356,93.0,15.0,14.0
8357,71.0,35.0,25.0
8358,67.0,24.0,16.0
8359,8.0,95.0,8.0
8360,25.0,32.0,8.0
8361,50.0,24.0,12.0
8362,20.0,90.0,18.0
8363,19.0,31.0,6.0
8364,55.0,33.0,18.0
8365,71.0,28.0,20.0
8366,0.0,29.0,0.0
8367,7.0,15.0,1.0
8368,32.0,31.0,10.0
8369,67.0,159.0,106.0
8370,0.0,9.0,0.0
8371,82.0,54.0,44.0
8372,9.0,22.0,2.0
8373,87.0,31.0,27.0
8374,63.0,24.0,15.0
8375,0.0,11.0,0.0
8376,89.0,18.0,16.0
8377,0.0,12.0,0.0
8378,47.0,43.0,20.0
8379,53.0,17.0,9.0
8380,62.0,21.0,13.0
8381,71.0,14.0,10.0
8382,13.0,15.0,2.0
8383,32.0,34.0,11.0
8384,30.0,44.0,13.0
8385,65.0,20.0,13.0
8386,0.0,25.0,0.0
8387,50.0,16.0,8.0
8388,51.0,55.0,28.0
8389,57.0,44.0,25.0
8390,0.0,21.0,0.0
8391,4.0,25.0,1.0
8392,97.0,33.0,32.0
8393,0.0,21.0,0.0
8394,7.0,14.0,1.0
8395,69.0,26.0,18.0
8396,44.0,25.0,11.0
8397,18.0,17.0,3.0
8398,16.0,32.0,5.0
8399,79.0,191.0,151.0
8400,78.0,23.0,18.0
8401,25.0,48.0,12.0
8402,56.0,18.0,10.0
8403,38.0,21.0,8.0
8404,79.0,14.0,11.0
8405,24.0,63.0,15.0
8406,88.0,17.0,15.0
8407,42.0,12.0,5.0
8408,48.0,21.0,10.0
8409,6.0,35.0,2.0
8410,15.0,13.0,2.0
8411,0.0,16.0,0.0
8412,59.0,32.0,19.0
8413,66.0,32.0,21.0
8414,30.0,40.0,12.0
8415,98.0,57.0,56.0
8416,40.0,20.0,8.0
8417,0.0,7.0,0.0
8418,16.0,19.0,3.0
8419,7.0,14.0,1.0
